ID,COUNTRY_NAME,ISO2,ADMIN1,ADMIN2,SITE_NAME,SITE_CODE,LATITUDE,LONGITUDE,TEST_TYPE,INSECTICIDE_CLASS,INSECTICIDE_CONC,INSECTICIDE_INTENSITY,INSECTICIDE_TYPE,YEAR_START,VECTOR_SPECIES,STAGE_ORIGIN,MOSQUITO_NUMBER,TIME_HOLDING_POSTEXPOSURE,MORTALITY_ADJUSTED,RESISTANCE_INTENSITY,DATA_SOURCE,CITATION,CITATION_URL,DATA_CURATOR
IRInt3,Côte d’Ivoire,CI,Agneby-Tiassa,Agboville,Agboville,IRCI5,5.931800,-4.218100,"CDC bottle bioassay, adults",Pyrethroids,125µg,10,Alpha-cypermethrin,2019,An. gambiae s.l.,F0_ADULTS_(WILD_COLLECTED),Not available,30MINS,72.00,High intensity,Centre Suisse de Recherches Scientifiques en Côte d’Ivoire,"Meiwald AE et al. (2020) Reduced long-lasting insecticidal net efficacy and pyrethroid insecticide resistance are associated with over-expression of CYP6P4, CYP6P3 and CYP6Z1 in populations of Anopheles coluzzii from South-East Côte d'Ivoire. J Infect Dis. 2020 Nov 11:jiaa699.",https://pubmed.ncbi.nlm.nih.gov/33175129/,World Health Organization
IRInt2,Côte d’Ivoire,CI,Agneby-Tiassa,Agboville,Agboville,IRCI5,5.931800,-4.218100,"CDC bottle bioassay, adults",Pyrethroids,62.5µg,5,Alpha-cypermethrin,2019,An. gambiae s.l.,F0_ADULTS_(WILD_COLLECTED),Not available,30MINS,66.00,Moderate to high intensity,Centre Suisse de Recherches Scientifiques en Côte d’Ivoire,"Meiwald AE et al. (2020) Reduced long-lasting insecticidal net efficacy and pyrethroid insecticide resistance are associated with over-expression of CYP6P4, CYP6P3 and CYP6Z1 in populations of Anopheles coluzzii from South-East Côte d'Ivoire. J Infect Dis. 2020 Nov 11:jiaa699.",https://pubmed.ncbi.nlm.nih.gov/33175129/,World Health Organization
IRDis63,Côte d’Ivoire,CI,Me,Adzope,Adzope,IRCI4,6.106900,-3.861900,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,0.00,N/A,Not available,Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454,https://pubmed.ncbi.nlm.nih.gov/33298071/,World Health Organization
IRInt28,Côte d’Ivoire,CI,Me,Adzope,Adzope,IRCI4,6.106900,-3.861900,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,54.20,Moderate to high intensity,Not available,Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454,https://pubmed.ncbi.nlm.nih.gov/33298071/,World Health Organization
IRInt29,Côte d’Ivoire,CI,Me,Adzope,Adzope,IRCI4,6.106900,-3.861900,WHO tube test,Pyrethroids,0.5%,10,Deltamethrin,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,68.90,High intensity,Not available,Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454,https://pubmed.ncbi.nlm.nih.gov/33298071/,World Health Organization
IRDis366,Benin,BJ,Littoral,Cotonou,Cotonou,IRBJ32,6.366700,2.433400,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),96,24HRS,43.80,N/A,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt208,Benin,BJ,Littoral,Cotonou,Cotonou,IRBJ32,6.366700,2.433400,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),98,24HRS,52.00,Moderate to high intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt209,Benin,BJ,Littoral,Cotonou,Cotonou,IRBJ32,6.366700,2.433400,WHO tube test,Pyrethroids,7.5%,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),91,24HRS,95.60,High intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRDis367,Benin,BJ,Outmt,Porto-Novo,Porto Novo,IRBJ104,6.496900,2.628900,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),85,24HRS,14.10,N/A,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt211,Benin,BJ,Outmt,Porto-Novo,Porto Novo,IRBJ104,6.496900,2.628900,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),93,24HRS,72.00,Moderate to high intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
