"","ID","COUNTRY_NAME","ISO2","ADMIN1","ADMIN2","SITE_NAME","SITE_CODE","LATITUDE","LONGITUDE","TEST_TYPE","INSECTICIDE_CLASS","INSECTICIDE_CONC","INSECTICIDE_INTENSITY","INSECTICIDE_TYPE","YEAR_START","VECTOR_SPECIES","STAGE_ORIGIN","MOSQUITO_NUMBER","TIME_HOLDING_POSTEXPOSURE","MORTALITY_ADJUSTED","RESISTANCE_INTENSITY","DATA_SOURCE","CITATION","CITATION_URL","DATA_CURATOR"
"1","IRInt3","Côte d’Ivoire","CI","Agneby-Tiassa","Agboville","Agboville","IRCI5",5.9318,-4.2181,"CDC bottle bioassay, adults","Pyrethroids",1.25,"High","Alpha-cypermethrin",2019,"An. gambiae s.l.","F0_ADULTS_(WILD_COLLECTED)","Not available",30,72,"High intensity","Centre Suisse de Recherches Scientifiques en Côte d’Ivoire","Meiwald AE et al. (2020) Reduced long-lasting insecticidal net efficacy and pyrethroid insecticide resistance are associated with over-expression of CYP6P4, CYP6P3 and CYP6Z1 in populations of Anopheles coluzzii from South-East Côte d'Ivoire. J Infect Dis. 2020 Nov 11:jiaa699.","https://pubmed.ncbi.nlm.nih.gov/33175129/","World Health Organization"
"2","IRInt2","Côte d’Ivoire","CI","Agneby-Tiassa","Agboville","Agboville","IRCI5",5.9318,-4.2181,"CDC bottle bioassay, adults","Pyrethroids",6.25,"Medium","Alpha-cypermethrin",2019,"An. gambiae s.l.","F0_ADULTS_(WILD_COLLECTED)","Not available",30,66,"Moderate to high intensity","Centre Suisse de Recherches Scientifiques en Côte d’Ivoire","Meiwald AE et al. (2020) Reduced long-lasting insecticidal net efficacy and pyrethroid insecticide resistance are associated with over-expression of CYP6P4, CYP6P3 and CYP6Z1 in populations of Anopheles coluzzii from South-East Côte d'Ivoire. J Infect Dis. 2020 Nov 11:jiaa699.","https://pubmed.ncbi.nlm.nih.gov/33175129/","World Health Organization"
"3","IRDis63","Côte d’Ivoire","CI","Me","Adzope","Adzope","IRCI4",6.1069,-3.8619,"WHO tube test","Pyrethroids",0.05,"Low","Deltamethrin",2019,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,0,"N/A","Not available","Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454","https://pubmed.ncbi.nlm.nih.gov/33298071/","World Health Organization"
"4","IRInt28","Côte d’Ivoire","CI","Me","Adzope","Adzope","IRCI4",6.1069,-3.8619,"WHO tube test","Pyrethroids",0.25,"Medium","Deltamethrin",2019,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,54.2,"Moderate to high intensity","Not available","Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454","https://pubmed.ncbi.nlm.nih.gov/33298071/","World Health Organization"
"5","IRInt29","Côte d’Ivoire","CI","Me","Adzope","Adzope","IRCI4",6.1069,-3.8619,"WHO tube test","Pyrethroids",0.05,"High","Deltamethrin",2019,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,68.9,"High intensity","Not available","Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454","https://pubmed.ncbi.nlm.nih.gov/33298071/","World Health Organization"
"6","IRDis366","Benin","BJ","Littoral","Cotonou","Cotonou","IRBJ32",6.3667,2.4334,"WHO tube test","Pyrethroids",0.75,"Low","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","96",24,43.8,"N/A","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"7","IRInt208","Benin","BJ","Littoral","Cotonou","Cotonou","IRBJ32",6.3667,2.4334,"WHO tube test","Pyrethroids",3.75,"Medium","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","98",24,52,"Moderate to high intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"8","IRInt209","Benin","BJ","Littoral","Cotonou","Cotonou","IRBJ32",6.3667,2.4334,"WHO tube test","Pyrethroids",0.75,"High","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","91",24,95.6,"High intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"9","IRDis367","Benin","BJ","Outmt","Porto-Novo","Porto Novo","IRBJ104",6.4969,2.6289,"WHO tube test","Pyrethroids",0.75,"Low","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","85",24,14.1,"N/A","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"10","IRInt211","Benin","BJ","Outmt","Porto-Novo","Porto Novo","IRBJ104",6.4969,2.6289,"WHO tube test","Pyrethroids",3.75,"Medium","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","93",24,72,"Moderate to high intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
